customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00022,Male,0,No,Yes,33,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.59,3556.94,Yes
CUST-00023,Female,0,Yes,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),72.14,2984.88,No
CUST-00024,Female,0,Yes,Yes,56,Yes,Yes,DSL,No,No,No internet service,No,No internet service,No,One year,No,Electronic check,64.26,3622.55,No
CUST-00025,Female,0,Yes,No,29,Yes,No,No,No internet service,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),77.67,2287.17,Yes
CUST-00026,Female,0,No,Yes,31,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),70.74,2101.42,No
CUST-00027,Female,0,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,28.07,1844.46,No
CUST-00028,Female,1,No,No,18,No,No,Fiber optic,No internet service,No,No,No internet service,No,No,Month-to-month,Yes,Electronic check,98.38,1836.84,No
CUST-00029,Female,0,Yes,No,6,Yes,Yes,DSL,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),113.99,692.62,No
CUST-00030,Female,1,No,No,52,Yes,No,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),68.05,3533.52,Yes
CUST-00031,Male,0,No,Yes,40,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),24.28,971.51,No
CUST-00032,Male,0,Yes,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.93,3302.88,Yes
CUST-00033,Female,0,No,No,42,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.5,1287.56,No
CUST-00034,Female,0,No,No,68,Yes,No phone service,No,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Mailed check,118.0,8005.4,No
CUST-00035,Female,0,No,No,32,No,Yes,Fiber optic,No internet service,No,No,No internet service,No,Yes,One year,No,Credit card (automatic),31.97,1121.73,No
CUST-00036,Male,0,Yes,No,10,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,26.22,258.61,No
CUST-00037,Female,0,No,No,69,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),71.24,4955.97,No
CUST-00038,Male,0,Yes,Yes,9,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,No,Mailed check,24.63,213.93,No
CUST-00039,Male,0,Yes,No,69,Yes,No,No,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Electronic check,82.67,5699.76,No
CUST-00040,Male,0,No,Yes,61,No,Yes,No,No,Yes,No,No,No,No,Two year,Yes,Mailed check,106.64,6543.78,No
CUST-00041,Male,0,Yes,No,11,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No,No internet service,One year,No,Electronic check,43.54,492.95,No
CUST-00042,Male,0,No,Yes,68,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),112.57,7657.74,No
CUST-00043,Female,0,Yes,Yes,8,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No,One year,Yes,Electronic check,83.9,659.06,Yes
CUST-00044,Female,0,No,No,49,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),34.58,1704.93,No
CUST-00045,Female,0,Yes,No,24,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,83.73,2015.54,No
CUST-00046,Female,0,No,No,33,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),25.42,801.94,Yes
CUST-00047,Female,0,No,Yes,19,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,One year,No,Credit card (automatic),53.65,1042.99,No
CUST-00048,Male,0,No,Yes,2,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),19.63,70.7,Yes
CUST-00049,Female,0,No,No,55,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),63.04,3521.27,No
CUST-00050,Female,0,Yes,No,11,No,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,One year,No,Mailed check,102.87,1151.95,No
CUST-00051,Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No,One year,No,Electronic check,89.13,1510.85,Yes
CUST-00052,Female,0,No,No,42,Yes,No phone service,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,38.28,1553.13,Yes
CUST-00053,Male,0,Yes,No,61,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.63,2209.04,No
CUST-00054,Female,1,No,No,3,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),89.83,291.28,Yes
CUST-00055,Male,0,No,No,35,Yes,No,No,No,Yes,No,No,No,Yes,Two year,Yes,Credit card (automatic),85.95,2973.1,No
CUST-00056,Female,1,Yes,No,66,Yes,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,32.51,2035.98,No
CUST-00057,Female,0,Yes,No,1,No,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),86.55,131.9,No
CUST-00058,Male,0,No,No,7,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),97.64,684.3,No
CUST-00059,Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,96.16,1915.06,No
CUST-00060,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,Yes,Two year,No,Electronic check,59.37,2526.62,No
CUST-00061,Male,0,Yes,Yes,6,No,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,101.04,616.23,No
CUST-00062,Male,0,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),57.76,3174.66,No
CUST-00063,Male,0,Yes,No,21,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,83.86,1738.13,No
CUST-00064,Male,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No internet service,One year,No,Electronic check,95.55,4928.34,No
CUST-00065,Male,0,Yes,Yes,46,Yes,No,DSL,Yes,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),95.06,4308.89,No
CUST-00066,Female,0,No,No,35,Yes,Yes,DSL,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),53.39,1777.8,No
CUST-00067,Female,0,Yes,No,8,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),76.22,658.96,No
CUST-00068,Male,0,Yes,No,68,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Electronic check,80.62,5494.11,Yes
CUST-00069,Female,0,No,No,16,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Two year,No,Electronic check,41.95,633.9,No
CUST-00070,Female,1,No,No,67,Yes,No,No,Yes,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),18.84,1222.29,No
CUST-00071,Female,0,No,No,71,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),28.13,1996.71,No
CUST-00072,Female,1,Yes,No,64,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,No,Month-to-month,Yes,Mailed check,21.53,1391.56,No
CUST-00073,Male,0,Yes,No,2,Yes,Yes,No,Yes,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,48.46,146.25,Yes
CUST-00074,Female,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,One year,Yes,Credit card (automatic),51.25,80.76,Yes
CUST-00075,Male,0,No,No,58,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,106.33,6149.01,No
CUST-00076,Female,0,No,Yes,1,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Credit card (automatic),30.74,30.34,No
CUST-00077,Female,1,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,Two year,Yes,Electronic check,36.88,283.46,No
CUST-00078,Female,0,Yes,No,69,Yes,No phone service,DSL,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,81.24,5681.77,Yes
CUST-00079,Male,0,Yes,Yes,18,Yes,Yes,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Mailed check,65.85,1197.02,No
CUST-00080,Female,0,Yes,No,32,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,Yes,Two year,No,Mailed check,119.31,3832.65,No
CUST-00081,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),95.72,4282.87,No
CUST-00082,Female,1,Yes,No,33,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,One year,No,Credit card (automatic),45.57,1498.33,No
CUST-00083,Male,0,No,No,49,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),91.6,4506.34,No
CUST-00084,Female,0,Yes,No,33,Yes,Yes,No,No internet service,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,41.29,1364.46,No
CUST-00085,Male,0,No,Yes,71,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,87.52,6215.44,No
CUST-00086,Male,0,No,No,68,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,21.73,1412.56,No
CUST-00087,Female,0,No,No,28,No,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Credit card (automatic),38.36,1081.34,Yes
CUST-00088,Male,0,Yes,No,53,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,28.47,1573.01,No
CUST-00089,Female,0,No,No,44,Yes,No,Fiber optic,No internet service,Yes,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,61.75,2786.23,Yes
CUST-00090,Female,0,Yes,Yes,55,No,Yes,Fiber optic,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,74.45,4160.22,No
CUST-00091,Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,One year,No,Bank transfer (automatic),44.46,382.3,No
CUST-00092,Female,0,Yes,Yes,14,Yes,No,No,No,Yes,No internet service,No,Yes,No,Two year,No,Electronic check,117.81,1699.31,No
CUST-00093,Female,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,59.88,2196.49,Yes
CUST-00094,Female,0,Yes,No,34,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,75.3,2661.98,No
CUST-00095,Female,0,No,No,18,Yes,No,Fiber optic,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),65.28,1196.38,No
CUST-00096,Female,0,No,No,16,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),106.04,1713.68,No
CUST-00097,Female,0,No,No,37,Yes,No,No,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,55.81,2078.84,No
CUST-00098,Female,0,No,No,41,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),114.2,4794.41,Yes
CUST-00099,Female,0,Yes,Yes,25,Yes,Yes,No,No,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,100.11,2494.17,No
CUST-00100,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,Yes,One year,Yes,Credit card (automatic),25.72,262.18,Yes
CUST-00101,Male,0,Yes,No,18,Yes,Yes,No,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Electronic check,108.1,1927.36,No
CUST-00102,Female,0,No,No,68,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,36.52,2482.52,Yes
CUST-00103,Female,0,No,No,48,Yes,No,No,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,24.07,1149.44,No
CUST-00104,Female,0,No,No,70,Yes,Yes,No,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,No,Mailed check,40.61,2805.42,No
CUST-00105,Female,0,No,No,67,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,Two year,Yes,Electronic check,26.69,1840.94,No
CUST-00106,Female,0,No,Yes,18,Yes,No,Fiber optic,Yes,No,No,No internet service,No,Yes,One year,Yes,Credit card (automatic),81.46,1539.77,Yes
CUST-00107,Female,0,No,Yes,18,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,Two year,Yes,Mailed check,63.64,1208.3,No
CUST-00108,Female,0,Yes,No,56,Yes,No,DSL,No,Yes,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,66.43,3733.14,No
CUST-00109,Female,0,Yes,No,23,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,One year,No,Credit card (automatic),80.89,1930.59,No
CUST-00110,Male,0,Yes,Yes,35,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No,No internet service,Two year,Yes,Mailed check,68.84,2348.48,No
CUST-00111,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,119.14,782.87,Yes
CUST-00112,Male,0,Yes,Yes,26,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,81.62,2183.87,Yes
CUST-00113,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),77.79,4797.43,No
CUST-00114,Female,0,Yes,No,15,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.27,933.96,Yes
CUST-00115,Male,0,Yes,Yes,32,No,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),63.53,2080.56,No
CUST-00116,Female,0,No,Yes,12,No,Yes,DSL,Yes,Yes,No internet service,No,No,No,One year,No,Credit card (automatic),118.93,1440.83,No
CUST-00117,Male,0,No,Yes,5,Yes,No,DSL,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,18.56,113.3,Yes
CUST-00118,Female,0,No,No,64,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,33.86,2163.68,No
CUST-00119,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),52.99,3756.19,Yes
CUST-00120,Male,0,No,No,27,Yes,Yes,DSL,No,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,110.25,2935.69,Yes
CUST-00121,Female,0,No,Yes,45,Yes,Yes,No,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,113.67,5046.74,Yes
CUST-00122,Male,1,No,Yes,35,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.88,940.21,Yes
CUST-00123,Female,0,Yes,No,26,Yes,No phone service,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),32.45,810.58,Yes
CUST-00124,Male,1,Yes,No,23,Yes,No,DSL,No,No,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),107.99,2448.01,No
CUST-00125,Male,0,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No,Two year,Yes,Bank transfer (automatic),45.77,657.6,No
CUST-00126,Female,1,Yes,No,3,No,Yes,DSL,No,Yes,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),58.91,304.61,No
CUST-00127,Female,0,Yes,No,29,Yes,No phone service,No,No,No internet service,Yes,No,Yes,No,Two year,No,Electronic check,18.47,600.52,No
CUST-00128,Male,0,Yes,No,66,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,One year,Yes,Credit card (automatic),68.13,4524.75,No
CUST-00129,Female,0,Yes,No,64,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),106.26,6762.23,No
CUST-00130,Female,0,Yes,No,28,Yes,Yes,No,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,55.19,1622.09,No
CUST-00131,Female,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,107.85,3889.33,Yes
CUST-00132,Male,0,Yes,Yes,6,Yes,Yes,No,No,Yes,No internet service,No,No,No,Month-to-month,No,Mailed check,53.39,236.73,Yes
CUST-00133,Male,0,No,No,11,Yes,Yes,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),85.13,921.8,No
CUST-00134,Male,0,No,No,38,Yes,Yes,No,Yes,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,47.95,1874.21,Yes
CUST-00135,Male,0,No,Yes,34,Yes,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,70.5,2360.34,No
CUST-00136,Male,0,Yes,Yes,67,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,102.49,6909.88,No
CUST-00137,Male,1,No,Yes,46,Yes,Yes,DSL,No internet service,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,104.54,4762.63,No
CUST-00138,Male,0,No,No,29,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,25.81,709.5,No
CUST-00139,Male,1,No,No,60,Yes,No phone service,No,No,Yes,Yes,No internet service,No,Yes,Two year,No,Bank transfer (automatic),112.79,6808.43,No
CUST-00140,Male,0,No,No,54,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,71.23,3814.58,Yes
CUST-00141,Female,0,Yes,Yes,69,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Credit card (automatic),40.36,2826.09,No
CUST-00142,Male,0,No,No,9,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),102.79,841.67,No
CUST-00143,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,Two year,Yes,Credit card (automatic),82.79,806.8,No
CUST-00144,Female,0,No,No,68,Yes,Yes,Fiber optic,No internet service,No,No internet service,No internet service,No internet service,No,Two year,Yes,Electronic check,69.82,4789.28,No
CUST-00145,Female,0,No,No,58,Yes,Yes,No,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Credit card (automatic),100.79,5947.56,No
CUST-00146,Male,0,Yes,No,52,Yes,No phone service,Fiber optic,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),38.79,2077.99,No
CUST-00147,Male,1,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,77.28,2623.6,Yes
CUST-00148,Male,0,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,116.1,4117.91,No
CUST-00149,Male,0,No,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Electronic check,82.98,2740.64,No
CUST-00150,Female,0,No,No,72,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,79.08,5749.08,Yes
CUST-00151,Male,0,No,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),21.0,721.28,Yes
CUST-00152,Male,0,No,Yes,55,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,36.63,2132.6,No
CUST-00153,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Credit card (automatic),80.44,684.95,No
CUST-00154,Male,0,No,Yes,46,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,89.67,4100.83,No
CUST-00155,Male,0,Yes,No,14,Yes,No,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),109.78,1552.52,No
CUST-00156,Female,0,Yes,No,8,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),106.88,818.3,Yes
CUST-00157,Male,0,No,Yes,71,Yes,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.7,3838.87,Yes
CUST-00158,Female,1,Yes,Yes,54,Yes,No,DSL,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,88.37,4765.5,Yes
CUST-00159,Male,0,No,No,21,No,No,DSL,Yes,Yes,No,Yes,No internet service,No internet service,One year,No,Mailed check,65.32,1379.86,No
CUST-00160,Female,0,Yes,No,14,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),66.66,915.17,No
CUST-00161,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No internet service,No,No,No,Month-to-month,No,Bank transfer (automatic),114.43,147.39,No
CUST-00162,Male,1,Yes,No,61,Yes,No,Fiber optic,No internet service,No internet service,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),92.74,5586.66,No
CUST-00163,Female,0,Yes,No,17,Yes,No phone service,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Mailed check,116.75,2008.38,Yes
CUST-00164,Female,0,No,No,48,No,No,Fiber optic,Yes,No,Yes,Yes,No internet service,Yes,Month-to-month,No,Electronic check,97.04,4591.46,Yes
CUST-00165,Female,0,Yes,No,8,Yes,No,No,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Electronic check,92.01,772.31,Yes
CUST-00166,Male,0,Yes,Yes,56,Yes,No,DSL,Yes,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),61.61,3527.57,No
CUST-00167,Female,0,Yes,No,17,Yes,No,No,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),28.86,469.43,Yes
CUST-00168,Male,0,Yes,No,69,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Two year,Yes,Credit card (automatic),82.3,5665.21,Yes
CUST-00169,Male,0,Yes,No,12,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),65.77,828.75,No
CUST-00170,Female,0,No,No,38,No,No,Fiber optic,No,No,Yes,No,No internet service,No,One year,Yes,Electronic check,78.24,2959.26,No
CUST-00171,Female,0,Yes,No,18,Yes,No,DSL,No,Yes,No internet service,Yes,No,No internet service,One year,Yes,Mailed check,46.8,800.99,No
CUST-00172,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,One year,Yes,Electronic check,37.99,971.15,No
